"ccn","impute_discharge","impute_drg100","impute_drg101","impute_neuro1","impute_neuro2","total_discharges","drg_100","drg_101","total_beds_min","total_beds_max","cec","num_neuro_afl_1","num_neuro_afl_2","zip","estimation"
"390067",0,0,0,0,0,9410,19,45,614.9,942,0,29,9,17105,1379
"390068",0,0,0,1,1,310,0,0,50.7,60,0,1,2,17543,56
"390070",0,0,0,0,1,444,0,0,150,208.9,0,5,1,19007,137
"390071",0,0,0,0,0,105,0,0,0,51,0,1,1,17745,10
"390072",0,0,0,1,1,173,0,0,0,30,0,1,2,18603,23
"390073",0,0,0,0,0,4675,18,37,250,384,0,17,3,16601,761
"390076",0,0,0,0,0,1227,0,0,0,204,0,9,1,19320,117
"390079",0,0,0,0,1,4045,0,23,231,416,0,10,1,18840,480
"390080",0,0,0,1,1,1316,0,0,187,293.9,0,3,6,19111,253
"390081",0,0,0,0,0,803,0,0,66.7,120.3,0,2,5,19026,136
"390084",0,0,0,1,1,157,0,0,35,35,0,2,1,17801,32
"390086",0,0,0,0,0,2383,0,14,119.3,216,0,11,2,15801,314
"390090",0,0,0,0,0,629,0,0,215,380,0,3,7,15224,264
"390091",0,0,0,0,0,1334,0,0,124,169,0,3,2,16346,155
"390093",0,0,0,1,1,252,0,0,35,67,0,2,3,16214,67
"390096",0,0,0,0,0,1537,0,0,124.4,185.6,0,5,3,19605,190
"390097",0,0,0,0,0,1860,0,11,165.2,253,0,4,3,19046,279
"390100",0,0,0,0,0,9132,29,46,554,844,0,27,1,17602,1278
"390101",0,0,0,0,1,672,0,0,76.1,158,0,2,4,17408,127
"390102",0,0,0,0,0,1673,0,12,179,251.7,0,2,4,15215,285
"390104",0,0,0,1,1,66,0,0,21,31,0,1,1,16735,16
"390107",0,0,0,0,0,3206,0,12,300.5,381,0,7,12,15237,553
