"ccn","total_discharges","drg_100","drg_101","total_beds_min","total_beds_max","cec","num_neuro_afl_1","num_neuro_afl_2"
"161332",500,0,0,8.6,18.7,0,2,1
"161333",344,0,0,14.1,39.9,0,2,1
"161334",238,0,0,23.9,33,0,1,1
"161335",162,0,0,25.4,30,0,1,1
"161336",414,0,0,15.9,17,0,2,2
"161337",114,0,0,10,27,0,2,1
"161338",138,0,0,17.1,20,0,2,1
"161339",147,0,0,25,25,0,1,1
"161340",22,0,0,11,14,0,2,2
"161341",13,0,0,16.3,21,0,1,1
"161342",133,0,0,14.3,20,0,2,2
"161343",268,0,0,32.3,42,0,1,1
"161344",131,0,0,15.5,23.4,0,1,1
"161345",110,0,0,8.6,13.7,0,2,1
"161346",77,0,0,19,25,0,2,1
"161347",77,0,0,28.4,71,0,2,1
"161348",142,0,0,23.3,25,0,2,1
"161349",150,0,0,25.4,29,0,2,1
"161350",14,0,0,16.7,19,0,1,1
"161351",823,0,0,25,33,0,2,1
"161352",173,0,0,25,25,0,1,1
"161353",343,0,0,24.7,28,0,1,1
"161354",129,0,0,13.7,18,0,1,2
"161355",90,0,0,16,33.6,0,1,2
"161356",155,0,0,22.4,33.6,0,1,1
"161357",198,0,0,25,35,0,1,1
"161358",415,0,0,25,75,0,2,1
"161359",509,0,0,8.6,15,0,1,1
"161360",18,0,0,28.9,34,0,1,2
"161361",240,0,0,25,25.1,0,2,1
"161362",77,0,0,17.9,28.9,0,1,1
"161363",382,0,0,27,38,0,2,2
"161364",36,0,0,25,33,0,1,1
"161365",236,0,0,42.1,52,0,1,1
"161366",478,0,0,20.3,26,0,1,1
"161367",13,0,0,25,27.1,0,2,1
"161368",240,0,0,15.7,25,0,1,1
"161369",96,0,0,28,31,0,2,2
"161370",13,0,0,15,25,0,1,1
"161371",110,0,0,21.5,35,0,1,2
"161372",1913,0,0,26,76,0,1,1
"161373",114,0,0,13.9,28.9,0,2,1
"161374",64,0,0,27.1,30,0,1,1
"161375",47,0,0,17,20.1,0,1,1
"161376",335,0,0,27.6,31,0,2,3
"161377",23,0,0,6,25,0,1,1
"161378",426,0,0,6.7,23,0,2,1
"161379",593,0,0,23.3,32,0,1,1
"161380",227,0,0,19.6,26,0,2,1
"161381",103,0,0,28.6,45,0,1,1
"162001",278,0,0,22.6,50,0,2,2
