"ccn","impute_discharge","impute_drg100","impute_drg101","impute_neuro1","impute_neuro2","total_discharges","drg_100","drg_101","total_beds_min","total_beds_max","cec","num_neuro_afl_1","num_neuro_afl_2","zip"
"503300",1,1,1,0,1,1401,15,20,300.7,433,1,1,4,"98105"
"503301",1,1,1,1,1,713,0,0,118,266.9,0,1,1,"98415"
"503302",1,1,1,1,1,169,0,0,0,30,0,2,1,"99204"
"510001",0,0,0,0,0,8828,36,80,676,773,1,50,4,"26506"
"510002",0,0,0,1,1,996,0,0,95.4,122,0,2,5,"24970"
"510006",0,0,0,0,0,4134,13,0,340,340,0,7,3,"26330"
"510007",0,0,0,0,0,5670,11,30,338.4,393,0,9,5,"25702"
"510008",0,0,0,0,0,2190,15,22,190,220,0,11,5,"25401"
"510012",0,0,0,0,1,316,0,0,101,101,0,1,2,"25550"
"510013",0,0,0,0,0,399,0,0,70,94,0,3,1,"26038"
"510022",1,0,0,0,0,11827,44,86,1041.9,1056.1,0,24,2,"25301"
"510023",0,0,0,0,0,1712,0,0,263,263,0,2,3,"26062"
"510024",0,0,0,0,0,2387,0,0,164,269,0,2,1,"26505"
"510029",0,0,0,0,0,1808,0,0,230,240,0,4,6,"25309"
"510030",0,0,0,1,1,647,0,0,66,81,0,2,1,"26241"
"510031",1,1,1,1,1,206,0,0,172,172,0,2,1,"25301"
"510038",0,0,0,0,1,360,0,0,18.9,63,0,2,3,"26452"
"510039",0,0,0,1,1,386,0,0,45,36,0,2,2,"26003"
"510046",0,0,0,0,0,1882,0,0,143,173.3,0,4,2,"24740"
"510047",0,0,0,1,1,522,0,0,86,100,0,1,2,"26554"
"510048",0,0,0,1,1,1401,0,14,125.2,140,0,5,3,"25601"
"510050",0,0,0,0,0,3108,0,0,223,290,0,8,3,"26003"
"510055",0,0,0,0,0,2706,21,0,360,360,1,22,1,"25701"
"510058",0,0,0,0,0,4185,15,24,263,303,0,6,2,"26101"
"510062",0,0,0,0,0,1363,0,0,125,173,0,4,2,"25801"
"510070",0,0,0,0,0,4331,11,22,200,300,0,4,4,"25801"
"510071",0,0,0,1,1,748,0,0,92,92,0,1,1,"24701"
"510072",0,0,0,1,1,67,0,0,56,56,0,2,1,"26155"
"510077",0,0,0,1,1,39,0,0,31,32,0,2,2,"25661"
"510082",0,0,0,1,1,34,0,0,23,25,0,2,1,"26651"
"510086",0,0,0,1,1,61,0,0,12.7,27.4,0,1,1,"24801"
"510091",0,0,0,1,1,118,0,0,35,35,0,1,1,"25301"
"511300",1,1,1,1,1,215,0,0,20,20,0,1,1,"26416"
"511301",1,1,1,1,1,206,0,0,20,20,0,1,1,"26288"
"511303",1,1,1,1,1,336,0,0,18,23,0,1,1,"26147"
"511304",1,1,1,1,1,136,0,0,6,24,0,1,1,"26175"
"511306",1,1,1,1,1,254,0,0,32,32,0,2,1,"25276"
"511307",1,1,1,0,1,96,0,0,28,28,0,1,1,"26354"
"511308",1,1,1,1,1,157,0,0,30,33.9,0,2,1,"26624"
"511309",1,1,1,1,1,155,0,0,22,34,0,2,1,"25411"
"511310",1,1,1,1,1,11,0,0,31,31,0,1,1,"25951"
"511311",1,1,1,1,1,48,0,0,16.4,20,0,2,1,"26757"
"511312",1,1,1,0,1,131,0,0,24,24,0,2,1,"26537"
"511313",1,1,1,0,1,128,0,0,34,34,0,1,1,"25130"
"511314",1,1,1,1,1,858,0,0,25,25,0,1,1,"24924"
"511315",1,1,1,1,1,860,0,0,33,41,0,1,3,"26726"
"511316",1,1,1,1,1,11,0,0,20,39,0,2,1,"26847"
"511317",1,1,1,1,1,246,0,0,11.4,25,0,1,1,"25901"
"511318",1,1,1,1,1,173,0,0,25,25,0,2,1,"25136"
"511319",1,1,1,1,1,40,0,0,25,25,0,2,1,"25438"
"511320",1,1,1,1,1,211,0,0,29.1,35,0,2,1,"25271"
"511321",1,1,1,1,1,483,0,0,25,55,0,1,1,"26201"
"511322",1,1,1,1,1,945,0,0,59,59,0,1,1,"26651"
"512002",1,1,1,1,1,90,0,0,32,32,0,2,1,"25301"
"512003",1,1,1,1,1,72,0,0,32,32,0,1,1,"25702"
"512004",1,1,1,1,1,1456,0,0,25,25,0,1,1,"26505"
"512005",1,1,1,1,1,296,0,0,49,68,0,2,2,"26062"
"520002",0,0,0,0,0,566,0,0,36.4,82.8,0,7,1,"54481"
"520004",0,0,0,0,1,1326,0,0,143.4,218,0,10,1,"54601"
"520008",0,0,0,0,0,2807,0,0,351,369,0,21,2,"53188"
"520009",0,0,0,0,0,1153,0,0,131,174,0,12,6,"54915"
"520011",0,0,0,0,0,381,0,0,48,75.1,0,1,5,"54868"
"520013",0,0,0,0,0,1799,0,0,104.1,197,0,3,4,"54701"
"520017",0,0,0,0,1,344,0,0,12.6,65,0,2,2,"54729"
"520019",0,0,0,0,0,505,0,0,79.1,142,0,6,1,"54501"
"520021",0,0,0,0,0,1827,0,0,194,236,0,5,4,"53143"
"520027",0,0,0,0,0,1084,0,0,63,182,0,4,3,"53097"
"520028",0,0,0,0,0,537,0,0,66,111.3,0,4,1,"53566"
"520030",0,0,0,0,0,3424,0,15,314,339.3,0,12,4,"54401"
"520033",0,0,0,1,1,466,0,0,49,97.1,0,1,2,"54495"
"520034",0,0,0,1,1,285,0,0,44,69,0,1,1,"54241"
"520035",0,0,0,0,1,662,0,0,123,139,0,8,1,"53083"
"520037",0,0,0,0,0,2394,13,24,334,354,1,22,3,"54449"
"520038",0,0,0,0,0,263,0,0,34,64,0,2,2,"53027"
"520041",0,0,0,1,1,401,0,0,36,96.1,0,2,3,"53901"
"520044",0,0,0,0,1,182,0,0,39.8,95,0,2,2,"53081"
"520045",0,0,0,0,0,857,0,0,50.6,145.6,0,19,8,"54956"
"520049",0,0,0,0,0,1244,0,0,155,221,0,13,3,"54305"
"520051",0,0,0,0,0,1359,12,14,0,307,0,13,5,"53211"
